2018-10-26 15:53:06.1362 | TRACE | Transliteration.Managers.LoggerClass | App srtart: 26.10.2018 15:53:06
2018-10-26 15:53:06.3327 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 15:53:06.3327 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 15:53:06.8573 | TRACE | Transliteration.MainWindow | Поепередньо залогінений користувач увійшов до застосуку.
2018-10-26 15:53:08.5845 | TRACE | Transliteration.ViewModels.TranslitViewModels | User ask DB for own translits.
2018-10-26 15:53:08.5924 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of Translits property.
2018-10-26 15:53:08.5924 | TRACE | Transliteration.ViewModels.TranslitViewModels | DB answer successful for asking about current user translits.
2018-10-26 15:53:09.9606 | TRACE | Transliteration.ViewModels.TranslitViewModels | User want to log out.
2018-10-26 15:53:09.9606 | TRACE | Transliteration.ViewModels.TranslitViewModels | Clear current user for auto login.
2018-10-26 15:53:22.3004 | TRACE | Transliteration.Managers.LoggerClass | App srtart: 26.10.2018 15:53:22
2018-10-26 15:53:22.4899 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 15:53:22.4899 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 15:53:23.0215 | TRACE | Transliteration.MainWindow | Поепередньо залогінений користувач увійшов до застосуку.
2018-10-26 15:53:24.2883 | TRACE | Transliteration.ViewModels.TranslitViewModels | User want to log out.
2018-10-26 15:53:24.2943 | TRACE | Transliteration.ViewModels.TranslitViewModels | Clear current user for auto login.
2018-10-26 15:53:46.4759 | TRACE | Transliteration.Managers.LoggerClass | App srtart: 26.10.2018 15:53:46
2018-10-26 15:53:46.6384 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 15:53:46.6384 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 15:53:47.1550 | TRACE | Transliteration.MainWindow | Поепередньо залогінений користувач увійшов до застосуку.
2018-10-26 15:53:48.0965 | TRACE | Transliteration.ViewModels.TranslitViewModels | User want to log out.
2018-10-26 15:53:48.0965 | TRACE | Transliteration.ViewModels.TranslitViewModels | Clear current user for auto login.
2018-10-26 15:53:48.2458 | TRACE | Transliteration.ViewModels.TranslitViewModels | Now another user can Sign In.
2018-10-26 15:53:50.2825 | TRACE | Transliteration.ViewModels.SignInViewModel | User close app.
2018-10-26 15:53:53.9337 | TRACE | Transliteration.Managers.LoggerClass | App srtart: 26.10.2018 15:53:53
2018-10-26 15:53:54.1032 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 15:53:54.1032 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 15:53:54.5979 | TRACE | Transliteration.MainWindow | Поепередньо залогінений користувач відсутній.
2018-10-26 16:47:35.8331 | TRACE | Transliteration.Managers.LoggerClass | App srtart: 26.10.2018 16:47:35
2018-10-26 16:47:36.0126 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 16:47:36.0126 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 16:47:36.5263 | TRACE | Transliteration.MainWindow | Поепередньо залогінений користувач відсутній.
2018-10-26 16:47:49.1828 | TRACE | Transliteration.Managers.LoggerClass | App srtart: 26.10.2018 16:47:49
2018-10-26 16:47:49.3573 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 16:47:49.3573 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 16:47:49.8570 | TRACE | Transliteration.MainWindow | Поепередньо залогінений користувач відсутній.
2018-10-26 16:47:55.5195 | TRACE | Transliteration.ViewModels.SignInViewModel | User go to Translit page.
2018-10-26 16:48:23.8712 | TRACE | Transliteration.ViewModels.TranslitViewModels | User ask DB for own translits.
2018-10-26 16:48:23.8782 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of Translits property.
2018-10-26 16:48:23.8782 | TRACE | Transliteration.ViewModels.TranslitViewModels | DB answer successful for asking about current user translits.
2018-10-26 16:49:22.1699 | TRACE | Transliteration.Managers.LoggerClass | App srtart: 26.10.2018 16:49:22
2018-10-26 16:49:22.3624 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 16:49:22.3624 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 16:51:17.9037 | TRACE | Transliteration.MainWindow | Поепередньо залогінений користувач увійшов до застосуку.
2018-10-26 16:51:20.8792 | TRACE | Transliteration.ViewModels.TranslitViewModels | User ask DB for own translits.
2018-10-26 16:52:46.3753 | TRACE | Transliteration.Managers.LoggerClass | App srtart: 26.10.2018 16:52:46
2018-10-26 16:52:46.5378 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 16:52:46.5378 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 16:53:20.0164 | TRACE | Transliteration.MainWindow | Поепередньо залогінений користувач увійшов до застосуку.
2018-10-26 16:53:21.2792 | TRACE | Transliteration.ViewModels.TranslitViewModels | User ask DB for own translits.
2018-10-26 16:53:21.2792 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of Translits property.
2018-10-26 16:53:21.2792 | TRACE | Transliteration.ViewModels.TranslitViewModels | DB answer successful for asking about current user translits.
2018-10-26 16:53:23.6310 | TRACE | Transliteration.ViewModels.TranslitViewModels | User want to log out.
2018-10-26 16:53:23.6310 | TRACE | Transliteration.ViewModels.TranslitViewModels | Clear current user for auto login.
2018-10-26 16:53:23.6530 | TRACE | Transliteration.ViewModels.TranslitViewModels | Now another user can Sign In.
2018-10-26 16:53:28.9581 | TRACE | Transliteration.ViewModels.SignInViewModel | User close app.
2018-10-26 16:53:38.9852 | TRACE | Transliteration.Managers.LoggerClass | App srtart: 26.10.2018 16:53:38
2018-10-26 16:53:39.1587 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
