2018-10-27 21:09:28.0633 | TRACE | Transliteration.Managers.LoggerClass | App srtart: 27.10.2018 21:09:28
2018-10-27 21:09:28.2548 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-27 21:09:28.2548 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-27 21:09:28.8353 | TRACE | Transliteration.MainWindow | Поепередньо залогінений користувач увійшов до застосуку.
2018-10-27 21:09:31.7066 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:09:31.9301 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:09:32.1647 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:09:32.3821 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:09:32.5351 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:09:32.7076 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:09:32.8547 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:09:33.0990 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:09:33.2458 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:09:33.6204 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:09:33.7665 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:09:35.5100 | TRACE | Transliteration.Tools.TranslitDictionary | Entered text start to translit.
2018-10-27 21:09:35.5139 | TRACE | Transliteration.ViewModels.TranslitViewModels | Entered text finish to translit.
2018-10-27 21:09:35.5139 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of TranslitText property.
2018-10-27 21:09:35.8064 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of Translits property.
2018-10-27 21:09:35.8104 | TRACE | Transliteration.ViewModels.TranslitViewModels | User enter text was translited and write to translits history.
2018-10-27 21:09:40.7690 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:09:40.9475 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:09:41.3863 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:09:41.6813 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:09:41.9693 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:09:42.3454 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:09:42.6141 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:09:42.7596 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:09:43.2014 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:09:45.2067 | TRACE | Transliteration.Tools.TranslitDictionary | Entered text start to translit.
2018-10-27 21:09:45.2067 | TRACE | Transliteration.ViewModels.TranslitViewModels | Entered text finish to translit.
2018-10-27 21:09:45.2192 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of TranslitText property.
2018-10-27 21:09:45.3264 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of Translits property.
2018-10-27 21:09:45.3593 | TRACE | Transliteration.ViewModels.TranslitViewModels | User enter text was translited and write to translits history.
2018-10-27 21:09:58.3718 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:09:59.7187 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:10:00.1412 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:10:00.1571 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:10:00.2624 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:10:00.4322 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:10:00.4443 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:10:00.5562 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:10:00.6981 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:10:00.7071 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:10:00.8062 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:10:02.2064 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:10:02.3630 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:10:02.5090 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:10:02.6478 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:10:02.7948 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:10:02.9510 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:10:03.1188 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:10:03.4971 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:10:03.6943 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:10:05.4793 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:10:05.6001 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:10:05.7517 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:10:05.8244 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:10:05.9720 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:10:06.0338 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:10:06.1222 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:10:07.9866 | TRACE | Transliteration.Tools.TranslitDictionary | Entered text start to translit.
2018-10-27 21:10:07.9866 | TRACE | Transliteration.ViewModels.TranslitViewModels | Entered text finish to translit.
2018-10-27 21:10:08.0005 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of TranslitText property.
2018-10-27 21:10:08.2483 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of Translits property.
2018-10-27 21:10:08.2483 | TRACE | Transliteration.ViewModels.TranslitViewModels | User enter text was translited and write to translits history.
2018-10-27 21:10:32.8039 | TRACE | Transliteration.Managers.LoggerClass | App srtart: 27.10.2018 21:10:32
2018-10-27 21:10:33.0293 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-27 21:10:33.0293 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-27 21:10:33.6811 | TRACE | Transliteration.MainWindow | Поепередньо залогінений користувач увійшов до застосуку.
2018-10-27 21:10:36.7036 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:10:37.8096 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:10:38.3007 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:10:38.4159 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:10:39.2776 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:10:41.3362 | TRACE | Transliteration.Tools.TranslitDictionary | Entered text start to translit.
2018-10-27 21:10:41.3362 | TRACE | Transliteration.ViewModels.TranslitViewModels | Entered text finish to translit.
2018-10-27 21:10:41.3451 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of TranslitText property.
2018-10-27 21:10:41.4910 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of Translits property.
2018-10-27 21:10:41.4910 | TRACE | Transliteration.ViewModels.TranslitViewModels | User enter text was translited and write to translits history.
2018-10-27 21:10:50.8085 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:10:50.9699 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:10:51.5187 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:10:51.6430 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:10:52.1568 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:10:52.3137 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:10:53.0522 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:10:53.7768 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:10:54.4079 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:10:54.5896 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:10:56.3818 | TRACE | Transliteration.Tools.TranslitDictionary | Entered text start to translit.
2018-10-27 21:10:56.3818 | TRACE | Transliteration.ViewModels.TranslitViewModels | Entered text finish to translit.
2018-10-27 21:10:56.3928 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of TranslitText property.
2018-10-27 21:10:56.7009 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of Translits property.
2018-10-27 21:10:56.7009 | TRACE | Transliteration.ViewModels.TranslitViewModels | User enter text was translited and write to translits history.
2018-10-27 21:18:02.1455 | TRACE | Transliteration.Managers.LoggerClass | App srtart: 27.10.2018 21:18:02
2018-10-27 21:18:02.3768 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-27 21:18:02.3768 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-27 21:18:03.0271 | TRACE | Transliteration.MainWindow | Поепередньо залогінений користувач увійшов до застосуку.
